name,age_group,sex,year,population,total_inactive_population,total_unemployed_population,total_employed_population,Less than basic_inactive,Basic_inactive,Intermediate_inactive,Advanced_inactive,Level not stated_inactive,Less than basic_unemployment,Basic_unemployment,Intermediate_unemployment,Advanced_unemployment,Level not stated_unemployment
Rwanda,25-35,female,2021,1141668.736,520726.52717696,81852.60196705314,539089.6068559869,28436875.649133783,21245642.308819965,16402885.606074238,11471605.393708428,27727426.40275987,86968.1474388867,351067.26143652113,46301.67288127349,36360.41260659812,0.0
Rwanda,25-35,female,2022,1151912.992,535443.71607136,79105.3374871631,537363.9384414769,29240581.33465697,21846103.615711488,16866477.05624784,11795825.065052062,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,25-35,female,2023,1162157.248,549921.1881811201,76566.24164094914,535669.8181779309,30031196.086570967,22436784.477789696,17322517.427705284,12114763.775630075,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,25-35,female,2024,1172401.504,563057.54631104,74431.36443170646,534912.5932572535,30748572.60404589,22972747.88949043,17736312.708797757,12404157.745232211,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,25-35,male,2015,1025688.96,218153.7849024,78904.2619587865,728630.9131388136,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,25-35,male,2016,1038388.8,223814.321952,80080.81693689887,734493.6611111012,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,25-35,male,2017,1051088.64,228559.224768,81216.55446000768,741312.8607719922,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,25-35,male,2018,1063788.48,316413.24549119995,71725.60125580954,675649.6332529904,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,25-35,male,2019,1076488.32,324916.46962560003,74796.43054926029,676775.4198251397,38.06,22.37,14.9,12.34,27727426.40275987,35271.62851342207,227715.02943249332,29556.67968856335,32373.1319911213,3118.6836671932433
Rwanda,25-35,male,2020,1089188.16,300626.8240416,82649.1136217999,705912.2223366001,11441856.923023297,6725022.053810592,4479339.67821984,3709735.008673344,27727426.40275987,30292.796840961342,209988.88033890488,29940.79530521499,30404.35155651877,3118.6836671932433
Rwanda,25-35,male,2021,1098918.272,305422.35533695994,85110.37202127767,708385.5446417623,11624374.844124695,6832298.088887794,4550793.094520703,3768911.8648580858,27727426.40275987,31428.902234056943,214619.729791172,30807.269579916312,28566.63737513938,3118.6836671932433
Rwanda,25-35,male,2022,1108648.384,317849.4916928,82946.89581410222,707851.9964930979,12097351.653827967,7110293.129167937,4735957.42622272,3922262.727489152,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,25-35,male,2023,1118378.496,331084.76995584,80736.97160582861,706556.7544383314,12601086.344519272,7406366.303912141,4933163.072342017,4085586.0612550657,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,25-35,male,2024,1128108.608,342617.86533568,78823.9960263645,706666.7466379555,13040035.954675982,7664361.647559162,5105006.193501633,4227904.458242292,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
