name,age_group,sex,year,population,ILO_inactive_share,total_inactive_population,ILO_unemployed_rate,total_unemployed_population,total_employed_population,Agriculture,Mining and quarrying,Manufacturing,Electricity,Water supply,Construction,Wholesale and retail,Transport,Accommodation,Information and communication,Financial and insurance,Real estate,Professional,Administrative and support,Public administration and defence,Education,Human health,Arts $ entertainment,Other services,Activities of households,Extraterritorial organizations
Rwanda,25-35,female,2017,1110521.152,39.005,433158.77533760003,10.921,73974.7451553007,603387.6315070993,29674111.82055132,183055.70233885836,2013896.578774751,8302.373503500265,34559.47344546453,901323.7591548789,8620590.630428493,137483.84696632126,1073182.3027800187,91182.04916968722,287231.77959199855,7673.5768943319845,181257.31228627727,380172.102587469,452974.87185511086,1112415.4307037753,527522.5682253927,0,0,2791180.731504153,0
Rwanda,25-35,female,2018,1117488.928,47.081,526124.9621916801,11.129,65812.89575480793,525551.070053512,29320710.909292564,179872.9839197509,2005317.793924315,8108.514235809204,33752.51454255539,1115677.0513618146,8666756.9579224,138129.0402557913,1046650.892898313,91609.95432031063,271580.0965667583,7600.2830623597365,179526.04104557796,376540.9054819622,399645.76086438674,1041805.6385382708,507223.2877525754,0,0,2701979.4157889015,0
Rwanda,25-35,female,2019,1124456.704,49.011,551107.47519744,11.983,68704.43808741076,504644.79071514914,288423.53236935724,1841.184420720608,27675.061135687225,136.1790040581087,566.8589437215583,14851.815040142272,71027.03814708018,1499.076191013652,13305.131555027005,994.2174442616392,4478.960657862429,102.96461282442365,2432.1237980865876,5101.176920306795,5157.087812216832,16089.327900190654,6530.502889729709,0,0,33023.131697497745,0
Rwanda,25-35,female,2020,1131424.48,44.718,505950.3989664,12.803,80079.44659473181,545394.6344388681,29960119.192653615,170528.03796969517,2291121.1938294284,22341.91292470199,93000.48306867822,2151148.6664831857,5857926.310421489,130595.41936848122,1043234.109909327,86613.50560775194,348664.668654924,9679.439074065804,228637.71812853822,479548.55412643217,401422.78752302215,1293762.6677286064,791089.6395766502,0,0,2727294.442095519,0
Rwanda,25-35,female,2021,1141668.736,45.611,520726.52717695996,13.182,81852.60196705314,539089.6068559869,28825417.751351304,134658.87143967306,2882115.103727937,18676.82254948387,77744.17191329872,1543003.2437042368,7092744.828514661,151171.99207971088,1397002.4289001978,100260.30198491903,491210.70668124635,10787.566445353974,254812.75901969185,534448.52039751,568018.5156600707,1588833.1150629304,639894.746190438,0,0,3285205.0302240397,0
Rwanda,25-35,female,2022,1151912.992,46.483,535443.71607136,12.832,79105.3374871631,537363.9384414769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,25-35,female,2023,1162157.2480000001,47.319,549921.1881811201,12.506,76566.24164094914,535669.8181779309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,25-35,female,2024,1172401.504,48.026,563057.54631104,12.215,74431.36443170646,534912.5932572535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,25-35,male,2015,1025688.96,21.269,218153.78490239996,9.771,78904.2619587865,728630.9131388136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,25-35,male,2016,1038388.8,21.554,223814.321952,9.831,80080.81693689887,734493.6611111012,27706784.077920128,1761418.844391908,3008917.6576160737,221921.8193393344,132165.27833178022,7031207.526346362,8463031.584299041,4706183.165292739,1356582.0102691646,225302.355427947,505571.946748493,94299.76900309656,535300.1757164627,1217279.1433054619,1162252.7686624045,1567295.183408321,590606.1786574398,0,0,2948138.2018017755,0
Rwanda,25-35,male,2017,1051088.64,21.745,228559.224768,9.874,81216.55446000768,741312.8607719922,27679870.0302305,1805735.121037951,3024247.679760803,232326.49847794784,138361.77274770345,7156911.23720658,8728786.354522442,4903457.358724192,1426167.7011960503,234746.5990717216,530873.6380056388,98406.9085806584,558614.6817942951,1270296.615132421,1163542.0853125264,1630243.7525969325,604859.4601756249,0,0,3062482.3607228477,0
Rwanda,25-35,male,2018,1063788.48,29.744,316413.24549119995,9.597,71725.60125580954,675649.6332529904,28579857.732865725,1854535.733787928,3169025.0254684445,236593.06324746343,140902.72037494584,7447424.341817353,8922417.707299981,5112972.742110041,1417434.8903178903,244776.87365247833,540515.2372216398,101205.41735266362,574500.640511217,1306421.4794510968,1269012.725414245,1674964.5904613638,617786.8391190022,0,0,3102750.6469519245,0
Rwanda,25-35,male,2019,1076488.32,30.183,324916.46962560003,9.952,74796.43054926029,676775.4198251397,261414.80335275776,20986.841899709016,35739.142428020445,2785.6944889537203,1659.017074463116,85091.57327042331,75014.44842661438,53720.212833006604,15933.185700860207,2571.7848329037897,6124.827465866668,1047.8002575556523,5947.9219081319,13525.647128899156,16086.395651779125,19637.16610326651,7279.420252770466,0,0,31269.76146572683,0
Rwanda,25-35,male,2020,1089188.16,27.601,300626.8240416,10.481,82649.1136217999,705912.2223366001,27799392.255399525,1608185.7292989613,3843152.302567804,159466.93420638557,94970.34499287304,10834296.889163692,5823134.645399877,4677686.682954502,1651694.051051332,223938.12365737668,592896.0348839024,114853.46646354064,651974.8821183144,1482598.8519421546,1391464.4155052432,1683230.527526842,729711.6572347172,0,0,2393571.16757041,0
Rwanda,25-35,male,2021,1098918.2719999999,27.793,305422.35533695994,10.726,85110.37202127767,708385.5446417623,25387791.147014946,2254569.2741488507,3636932.8819427756,254168.18336704402,151369.56247832227,9228146.171541471,7351050.843755054,5252038.83711874,1619800.0417659297,251434.4808184497,572602.1390983602,104799.14477437719,594900.7214515761,1352811.5128883282,1467234.2800247786,1911663.3742756569,689735.8197007623,0,0,3047132.6084328927,0
Rwanda,25-35,male,2022,1108648.384,28.67,317849.4916928,10.489,82946.89581410222,707851.9964930979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,25-35,male,2023,1118378.496,29.604,331084.76995584,10.255,80736.97160582861,706556.7544383314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,25-35,male,2024,1128108.608,30.371,342617.86533568,10.035,78823.9960263645,706666.7466379555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
